_1 42
_2 6769550677
_3 182
_4 20
_5 8
_6 W1608
_7 563
_8 E9
_9 577331
_10 19857
_11 29
_12 375
_13 183
_14 28
_15 2940
_16 X1560
_17 993
_18 E9Y9
_19 4444
_20 40451
_21 22
_22 229635
_23 202
_24 177
_25 356119624
_26 3703
_27 28
_28 35
_29 XYZ3
_30 7626
_31 314
_32 76545
_33 297
_34 94
_35 2278
_36 7
_37 29
_38 16
_39 ADEFWXZ7
_40 8192
_41 35
_42 6174
_43 81
_44 245
_45 53
_46 139
_47 2198
_48 11
_49 7
_50 2
_51 13
_52 49183
_53 47
_54 1118
_55 51
_56 5
_57 T72
_58 20
_59 49234
_60 7973
_61 48
_62 972405
_63 16
_64 597
_65 69
_66 19351
_67 X73
_68 44
_69 ZYX3
_70 1591
_71 14
_72 38
_73 2502
_74 26
_75 66
_76 8
_77 26
_78 19
_79 ZYXFEDBA8
_80 309
_81 19
_82 72
_83 66
_84 90
_85 6
_86 7
_87 U1618
_88 20
_89 14
_90 316
_91 229545
_92 69
_93 1310
_94 89
_95 974
_96 6
_97 L1567
_98 S6
_99 353204
_100 77
_101 99
_102 13
_103 252776
_104 550
_105 K36582
_106 3BEHUkvy
_107 18
_108 54
_109 236815
_110 15
_111 15
_112 58
_113 593
_114 483
_115 Z36493
_116 3TWZfgq
_117 2087
_118 7642289
_119 10
_120 470
_121 19
_122 164
_123 6
_124 353
_125 B38617
_126 DLXipu
_127 59
_128 123
_129 18
_130 482
_131 4683
_132 165
_133 62
_134 2504
_135 W38473
_136 45718
_137 784
_138 54476
_139 17
_140 48
_141 1
_142 165
_143 16
_144 C6347
_145 V38429
_146 994
_147 11
_148 888
_149 20137
_150 433
